contrast_id,parent_id,representative_pattern_id,name,city,centroid_lon,centroid_lat,geographic_stratum,agreement,baseline_agreement,delta,effective_k,boundary_tie_count
geometry:number_band:B1,NewTaipei:16527,NewTaipei:16527:161057:0:fef3e2600b43f288,878,NewTaipei,121.434351495,25.1516747267,NewTaipei:geo01,0.7,0.5,0.2,10,1
geometry:number_band:B1,NewTaipei:16528,NewTaipei:16528:157563:0:b99d4b5b15fc620e,860,NewTaipei,121.459214514,25.2202215764,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16529,NewTaipei:16529:157564:0:582028236e4a8166,861,NewTaipei,121.463282199,25.2235337996,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16530,NewTaipei:16530:157565:0:4c48fa20a757131a,865,NewTaipei,121.508754714,25.2538554121,NewTaipei:geo03,0.9,0.9,0,10,1
geometry:number_band:B1,NewTaipei:16531,NewTaipei:16531:157566:0:6edeac39989258f4,866,NewTaipei,121.495163433,25.218175467,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16532,NewTaipei:16532:157567:0:33241f590e4708d9,867,NewTaipei,121.500757788,25.2487063063,NewTaipei:geo03,0.9,1,-0.1,10,1
geometry:number_band:B1,NewTaipei:16535,NewTaipei:16535:157570:0:8a87af187a50f6cf,874,NewTaipei,121.462341918,25.2194294842,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16536,NewTaipei:16536:157571:0:977ed664178e8b3c,875,NewTaipei,121.471181634,25.185934396,NewTaipei:geo03,0.9,0.9,0,10,1
geometry:number_band:B1,NewTaipei:16538,NewTaipei:16538:157573:0:c77412f0a1a614e7,877,NewTaipei,121.506278635,25.2329585184,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16542,NewTaipei:16542:157577:0:adea23d54075b7e4,879,NewTaipei,121.463937498,25.2070634346,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16543,NewTaipei:16543:157578:0:698f23e34a5c602a,882,NewTaipei,121.464976043,25.2203369528,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16547,NewTaipei:16547:157582:0:1013ad8cc885ea21,808,NewTaipei,121.825866801,25.0995850308,NewTaipei:geo06,0.6,0.4,0.2,10,1
geometry:number_band:B1,NewTaipei:16548,NewTaipei:16548:157583:0:0fe922028ca67465,827,NewTaipei,121.832488656,25.1095048005,NewTaipei:geo06,0.6,0.4,0.2,10,1
geometry:number_band:B1,NewTaipei:16551,NewTaipei:16551:157586:0:5ddc9c9d0849bc5d,825,NewTaipei,121.827632851,25.1090149924,NewTaipei:geo06,0.6,0.4,0.2,10,1
geometry:number_band:B1,NewTaipei:16552,NewTaipei:16552:157587:0:0fa77084048ad9f0,856(台灣好行-黃金福隆線),NewTaipei,121.907440828,25.0780618329,NewTaipei:geo06,0.5,0.6,-0.1,10,1
geometry:number_band:B1,NewTaipei:16554,NewTaipei:16554:157589:0:568df4a9dbf1af9d,826,NewTaipei,121.843828547,25.1090614658,NewTaipei:geo06,0.6,0.5,0.1,10,1
geometry:number_band:B1,NewTaipei:16560,NewTaipei:16560:157596:0:78b83bf978980ec4,932,NewTaipei,121.410269438,24.9643360115,NewTaipei:geo00,0.8,0.6,0.2,10,1
geometry:number_band:B1,NewTaipei:16562,NewTaipei:16562:157598:0:95eea614884ed990,935,NewTaipei,121.527466324,24.9913608457,NewTaipei:geo04,0.5,0.4,0.1,10,1
geometry:number_band:B1,NewTaipei:16564,NewTaipei:16564:158931:1:404239bff2719fbf,876,NewTaipei,121.488641136,25.2070858519,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16565,NewTaipei:16565:159117:1:0fb437123a591e4a,886,NewTaipei,121.865609626,25.1204865978,NewTaipei:geo06,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:16571,NewTaipei:16571:157613:0:913b0743a3e6b4cf,797,NewTaipei,121.460423738,25.0449657173,NewTaipei:geo02,0.2,0,0.2,10,1
geometry:number_band:B1,NewTaipei:16573,NewTaipei:16573:157615:0:29b72f070ba6897d,800,NewTaipei,121.424377832,25.002967211,NewTaipei:geo00,0.9,0.6,0.3,10,1
geometry:number_band:B1,NewTaipei:16576,NewTaipei:16576:157618:0:fd604b474ecdb29f,799,NewTaipei,121.448743157,25.0235680888,NewTaipei:geo02,0,0.1,-0.1,10,1
geometry:number_band:B1,NewTaipei:16577,NewTaipei:16577:157619:0:3f094f2084767eb8,871經中山北路,NewTaipei,121.456602703,25.1981526107,NewTaipei:geo03,1,0.9,0.1,10,1
geometry:number_band:B1,NewTaipei:16578,NewTaipei:16578:157620:1:cb89cb56b131df71,872經正德國中、直行中山北路,NewTaipei,121.453492181,25.2040801885,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16579,NewTaipei:16579:157621:0:15e349ecfc745b38,873經正德國中,NewTaipei,121.454060785,25.2071247271,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16580,NewTaipei:16580:157622:0:9e5bcd641ece2dd0,891,NewTaipei,121.858109555,25.1149125402,NewTaipei:geo06,0.7,0.5,0.2,10,1
geometry:number_band:B1,NewTaipei:16581,NewTaipei:16581:157623:0:4f5f2b4c3f6c7697,275,NewTaipei,121.512539813,25.0052900794,NewTaipei:geo04,0.6,0.5,0.1,10,1
geometry:number_band:B1,NewTaipei:16583,NewTaipei:16583:157631:0:cbc53f4e0db5d28d,936,NewTaipei,121.423362066,25.070470167,NewTaipei:geo02,1,0.9,0.1,10,1
geometry:number_band:B1,NewTaipei:16584,NewTaipei:16584:157632:0:3bca2c213484c485,820,NewTaipei,121.472042011,25.0546897315,NewTaipei:geo02,0.3,0.3,0,10,1
geometry:number_band:B1,NewTaipei:16585,NewTaipei:16585:157633:0:f4bd265497f3f46e,908,NewTaipei,121.433187761,24.9669987854,NewTaipei:geo00,0.9,0.2,0.7,10,1
geometry:number_band:B1,NewTaipei:16588,NewTaipei:16588:157636:0:332f61060683a30f,264,NewTaipei,121.479753003,25.047524112,NewTaipei:geo02,0.2,0.1,0.1,10,2
geometry:number_band:B1,NewTaipei:16591,NewTaipei:16591:157639:0:aa282defe02db964,857,NewTaipei,121.460278383,25.0969503658,NewTaipei:geo01,0.3,0.1,0.2,10,1
geometry:number_band:B1,NewTaipei:16594,NewTaipei:16594:157642:0:a933252818b9cc00,801,NewTaipei,121.471580154,25.0510645745,NewTaipei:geo02,0.2,0.3,-0.1,10,1
geometry:number_band:B1,NewTaipei:16595,NewTaipei:16595:157643:0:633f6ac8f6cf39da,803,NewTaipei,121.476068126,25.0604499519,NewTaipei:geo02,0.2,0.2,0,10,1
geometry:number_band:B1,NewTaipei:16603,NewTaipei:16603:157651:0:77b094c3f87a5a60,920,NewTaipei,121.410394135,25.060293257,NewTaipei:geo02,0.8,0.6,0.2,10,1
geometry:number_band:B1,NewTaipei:16604,NewTaipei:16604:158941:0:461105e884c9ae39,925,NewTaipei,121.41749524,25.0718568327,NewTaipei:geo02,1,0.8,0.2,10,1
geometry:number_band:B1,NewTaipei:16606,NewTaipei:16606:157654:1:4e71e0819b51db9e,981,NewTaipei,121.356918308,24.9504739833,NewTaipei:geo00,0.6,0.5,0.1,10,1
geometry:number_band:B1,NewTaipei:16607,NewTaipei:16607:157655:0:1f46174f34989c37,889,NewTaipei,121.411366921,24.9735838437,NewTaipei:geo00,0.5,0.3,0.2,10,1
geometry:number_band:B1,NewTaipei:16608,NewTaipei:16608:157656:0:302b828da7456e8d,802,NewTaipei,121.418931616,24.9956262151,NewTaipei:geo00,0.5,0.6,-0.1,10,1
geometry:number_band:B1,NewTaipei:16609,NewTaipei:16609:157657:0:3256c6e8096ec896,842,NewTaipei,121.441322616,25.025407414,NewTaipei:geo02,0.5,0.6,-0.1,10,1
geometry:number_band:B1,NewTaipei:16614,NewTaipei:16614:157662:0:3d8334033737df92,930延,NewTaipei,121.513707061,24.9862536148,NewTaipei:geo04,0.5,0.3,0.2,10,1
geometry:number_band:B1,NewTaipei:16626,NewTaipei:16626:157674:0:0bd2151dd989d460,870,NewTaipei,121.440648409,25.190932605,NewTaipei:geo03,0.8,0.8,0,10,1
geometry:number_band:B1,NewTaipei:16627,NewTaipei:16627:157675:0:f9157ad805fb90db,872,NewTaipei,121.446507857,25.2036943806,NewTaipei:geo03,1,0.9,0.1,10,1
geometry:number_band:B1,NewTaipei:16628,NewTaipei:16628:157676:0:d407f67478987c11,871,NewTaipei,121.45018339,25.198271402,NewTaipei:geo03,0.9,0.9,0,10,1
geometry:number_band:B1,NewTaipei:16629,NewTaipei:16629:157677:0:1c0787656573655b,873,NewTaipei,121.446284953,25.2045523968,NewTaipei:geo03,1,0.9,0.1,10,1
geometry:number_band:B1,NewTaipei:16630,NewTaipei:16630:157678:0:e383fd8a4d876144,868,NewTaipei,121.465482505,25.1662500551,NewTaipei:geo03,0.6,0.7,-0.1,10,1
geometry:number_band:B1,NewTaipei:16633,NewTaipei:16633:157681:0:7fd0f5b8dbec38f9,919,NewTaipei,121.610346041,25.0578966084,NewTaipei:geo05,0,0.1,-0.1,10,1
geometry:number_band:B1,NewTaipei:16635,NewTaipei:16635:157696:0:531ccaacac177562,939,NewTaipei,121.475978861,24.9806055615,NewTaipei:geo04,0.7,0.4,0.3,10,1
geometry:number_band:B1,NewTaipei:16637,NewTaipei:16637:157697:0:2e97e91e9eefc753,780,NewTaipei,121.818827608,25.0203709549,NewTaipei:geo06,0.4,0.5,-0.1,10,1
geometry:number_band:B1,NewTaipei:16641,NewTaipei:16641:160828:1:4602761d9337e375,788,NewTaipei,121.80919838,25.1178179965,NewTaipei:geo06,0.3,0.3,0,10,1
geometry:number_band:B1,NewTaipei:16642,NewTaipei:16642:159633:1:0688c606159b3911,787,NewTaipei,121.751282741,25.1119974603,NewTaipei:geo06,0.8,0.7,0.1,10,1
geometry:number_band:B1,NewTaipei:16643,NewTaipei:16643:157703:0:1e1e2bb99b45e99f,782,NewTaipei,121.835743012,25.0295640803,NewTaipei:geo06,0.2,0.5,-0.3,10,1
geometry:number_band:B1,NewTaipei:16644,NewTaipei:16644:157704:0:bfe78e3607e2ae54,781,NewTaipei,121.835738124,25.0295716732,NewTaipei:geo06,0.2,0.5,-0.3,10,1
geometry:number_band:B1,NewTaipei:16651,NewTaipei:16651:157715:0:c09364d267453b3f,864,NewTaipei,121.472095998,25.1759096591,NewTaipei:geo03,0.7,0.7,0,10,1
geometry:number_band:B1,NewTaipei:16655,NewTaipei:16655:157719:0:3581a6a9aed4b192,937,NewTaipei,121.421923058,25.0709613055,NewTaipei:geo02,1,0.9,0.1,10,1
geometry:number_band:B1,NewTaipei:16656,NewTaipei:16656:157720:0:df5a9673fae9dfec,839耕莘,NewTaipei,121.520092903,24.9582394877,NewTaipei:geo04,0.2,0.4,-0.2,10,1
geometry:number_band:B1,NewTaipei:16659,NewTaipei:16659:157722:1:581f90de23ead74d,880,NewTaipei,121.436191851,25.0882205403,NewTaipei:geo01,0.5,0.2,0.3,10,1
geometry:number_band:B1,NewTaipei:16660,NewTaipei:16660:157724:0:d82e6d61eb02ec3e,883,NewTaipei,121.441953882,25.1100246336,NewTaipei:geo01,0.5,0.1,0.4,10,1
geometry:number_band:B1,NewTaipei:16662,NewTaipei:16662:157726:0:9aa389c233f1823d,948,NewTaipei,121.411286937,25.0516732038,NewTaipei:geo02,0.6,0.6,0,10,1
geometry:number_band:B1,NewTaipei:16664,NewTaipei:16664:157728:0:82ad3ebaafb51407,921,NewTaipei,121.426740225,24.9645773523,NewTaipei:geo00,0.8,0.4,0.4,10,1
geometry:number_band:B1,NewTaipei:16665,NewTaipei:16665:159314:0:1d8e96b6e917150a,851,NewTaipei,121.360395145,24.9463654993,NewTaipei:geo00,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16666,NewTaipei:16666:157730:0:4043146ac86fd5d4,852,NewTaipei,121.402123519,24.9701159343,NewTaipei:geo00,0.6,0.2,0.4,10,1
geometry:number_band:B1,NewTaipei:16670,NewTaipei:16670:157734:0:500a7b1dfe52c5a9,810,NewTaipei,121.443695263,25.0159988195,NewTaipei:geo02,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:16672,NewTaipei:16672:157736:0:b988d57e2e4a031e,938,NewTaipei,121.468105042,25.0571124404,NewTaipei:geo02,0,0.2,-0.2,10,1
geometry:number_band:B1,NewTaipei:16675,NewTaipei:16675:157739:0:2f3ace3bca9b6089,863,NewTaipei,121.537569345,25.2509921439,NewTaipei:geo03,0.9,0.9,0,10,1
geometry:number_band:B1,NewTaipei:16681,NewTaipei:16681:159635:1:029e2622b2640953,787經瑞芳工業區,NewTaipei,121.753318127,25.1111714214,NewTaipei:geo06,0.8,0.7,0.1,10,1
geometry:number_band:B1,NewTaipei:16682,NewTaipei:16682:157746:0:ea327882749676b4,791,NewTaipei,121.848205043,25.1075315573,NewTaipei:geo06,0.5,0.2,0.3,10,1
geometry:number_band:B1,NewTaipei:16685,NewTaipei:16685:157770:0:365180b7a6627e3e,657延,NewTaipei,121.465739441,25.0060269204,NewTaipei:geo04,0.4,0.2,0.2,10,1
geometry:number_band:B1,NewTaipei:16688,NewTaipei:16688:157773:0:4213cf3a365c4c86,983,NewTaipei,121.45428659,25.1608290638,NewTaipei:geo03,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16689,NewTaipei:16689:157774:0:d2c0d988b567a316,793,NewTaipei,121.499067287,24.998634814,NewTaipei:geo04,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16691,NewTaipei:16691:157776:0:efa6cfba4fdaee10,796,NewTaipei,121.539609429,24.9900168943,NewTaipei:geo04,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16692,NewTaipei:16692:157777:0:7723b2af621f5e9a,783,NewTaipei,121.456629059,25.0552336009,NewTaipei:geo02,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16693,NewTaipei:16693:157778:0:dda030d7227d4164,785,NewTaipei,121.466973839,25.0893111643,NewTaipei:geo02,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16694,NewTaipei:16694:157779:0:77931a3aa5c2278b,786,NewTaipei,121.414616362,25.0546808986,NewTaipei:geo02,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16695,NewTaipei:16695:157780:0:216260aa3f91dc55,821,NewTaipei,121.47245182,25.1743117263,NewTaipei:geo03,0.7,0.7,0,10,1
geometry:number_band:B1,NewTaipei:16697,NewTaipei:16697:160487:1:5d055b5a767a824d,847區,NewTaipei,121.432873511,24.9802998381,NewTaipei:geo00,0.4,0.2,0.2,10,1
geometry:number_band:B1,NewTaipei:16710,NewTaipei:16710:157802:0:5e2a3798186b6bc4,867區,NewTaipei,121.483194475,25.2415939878,NewTaipei:geo03,1,1,0,10,1
geometry:number_band:B1,NewTaipei:16717,NewTaipei:16717:157814:0:740254164781cf25,895,NewTaipei,121.513406775,24.9977117753,NewTaipei:geo04,0.1,0,0.1,10,1
geometry:number_band:B1,NewTaipei:16719,NewTaipei:16719:157817:0:15c522bc9be02c02,795往木柵(台灣好行-木柵平溪線),NewTaipei,121.670188072,25.0126395066,NewTaipei:geo05,0.2,0.2,0,10,1
geometry:number_band:B1,NewTaipei:16726,NewTaipei:16726:159535:0:c70323a8b9423db0,941,NewTaipei,121.460425528,24.9673209454,NewTaipei:geo00,0.8,0.3,0.5,10,1
